iter	Passed	Remaining
354	86245	1857305
355	86469	1856673
356	86692	1855997
357	86942	1855906
358	87169	1855336
359	87416	1855171
360	87645	1854640
361	87980	1856349
362	88217	1855974
363	88435	1855193
364	88703	1855484
365	88934	1854987
366	89169	1854576
367	89414	1854385
368	89610	1853163
369	89832	1852486
370	90047	1851672
371	90292	1851490
372	90524	1851027
373	90746	1850359
374	90992	1850178
375	91206	1849356
376	91447	1849091
377	91671	1848466
378	91905	1848053
379	92143	1847726
380	92371	1847191
381	92585	1846369
382	92821	1845999
383	93087	1846242
384	93315	1845714
385	93586	1846020
386	93814	1845505
387	94042	1844983
388	94299	1845017
389	94543	1844812
390	94780	1844471
391	95007	1843913
392	95259	1843868
393	95481	1843230
394	95713	1842792
395	95949	1842423
396	96202	1842379
397	96418	1841649
398	96652	1841248
399	96913	1841354
400	97186	1841693
401	97435	1841584
402	97680	1841395
403	97916	1841018
404	98183	1841240
405	98414	1840788
406	98675	1840888
407	98958	1841398
408	99211	1841349
409	99448	1841004
410	99681	1840591
411	99912	1840142
412	100163	1840057
413	100403	1839767
414	100666	1839891
415	100904	1839558
416	101127	1838970
417	101379	1838893
418	101582	1837942
419	101838	1837942
420	102081	1837707
421	102327	1837533
422	102543	1836815
423	102759	1836099
424	103005	1835930
425	103255	1835813
426	103477	1835203
427	103725	1835063
428	103976	1834985
429	104212	1834620
430	104453	1834361
431	104695	1834103
432	104907	1833342
433	105137	1832882
434	105388	1832782
435	105644	1832785
436	105877	1832375
437	106089	1831612
438	106323	1831232
439	106562	1830939
440	106805	1830717
441	107003	1829707
442	107213	1828930
443	107425	1828171
444	107662	1827846
445	107908	1827678
446	108134	1827155
447	108345	1826389
448	108588	1826168
449	108788	1825223
450	108986	1824260
451	109215	1823801
452	109451	1823474
453	109647	1822473
454	109872	1821943
455	110076	1821091
456	110342	1821256
457	110605	1821368
458	110878	1821642
459	111136	1821677
460	111389	1821612
461	111617	1821151
462	111864	1821000
463	112103	1820719
464	112348	1820532
465	112555	1819723
466	112783	1819274
467	113050	1819433
468	113342	1820009
469	113553	1819269
470	113762	1818514
471	113982	1817929
472	114232	1817811
473	114434	1816956
474	114701	1817108
475	114927	1816624
476	115174	1816468
477	115482	1817277
478	115757	1817569
479	116056	1818220
480	116338	1818606
481	116606	1818766
482	116887	1819133
483	117132	1818944
484	117390	1818945
485	117663	1819176
486	117937	1819439
487	118211	1819679
488	118524	1820523
489	118766	1820271
490	119026	1820311
491	119259	1819916
492	119520	1819956
493	119768	1819798
494	120118	1821190
495	120335	1820553
496	120563	1820096
497	120816	1820007
498	121033	1819380
499	121265	1818976
500	121481	1818344
501	121689	1817578
502	121893	1816773
503	122086	1815797
504	122312	1815306
505	122522	1814589
506	122791	1814752
507	123149	1816208
508	123430	1816531
509	123648	1815934
510	123871	1815408
511	124096	1814911
512	124310	1814255
513	124533	1813727
514	124764	1813327
515	124988	1812813
516	125224	1812485
517	125432	1811747
518	125646	1811099
519	125888	1810850
520	126132	1810640
521	126434	1811253
522	126773	1812403
523	127055	1812721
524	127324	1812863
525	127582	1812832
526	127817	1812493
527	128096	1812758
528	128368	1812925
529	128584	1812319
530	128850	1812406
531	129074	1811894
532	129315	1811629
533	129574	1811610
534	129798	1811113
535	130077	1811380
536	130328	1811243
537	130552	1810749
538	130799	1810567
539	131024	1810074
540	131255	1809677
541	131516	1809688
542	131759	1809448
543	132017	1809418
544	132271	1809323
545	132579	1809981
546	132915	1810997
547	133164	1810842
548	133413	1810685
549	133665	1810564
550	134018	1811803
551	134497	1814736
552	134738	1814466
553	135004	1814522
554	135235	1814104
555	135482	1813909
556	135735	1813791
557	135979	1813552
558	136235	1813469
559	136497	1813471
560	136739	1813204
561	136971	1812806
562	137197	1812325
