iter	RMSE
0	0.05055649029
1	0.05007885871
2	0.04960483681
3	0.04914127275
4	0.04868044956
5	0.04822901488
6	0.04778556889
7	0.04734578118
8	0.04690920984
9	0.04648050211
10	0.04605644128
11	0.0456359326
12	0.0452209557
13	0.04481033422
14	0.04441006333
15	0.04401179297
16	0.04362010103
17	0.04323357969
18	0.0428559702
19	0.04248067756
20	0.0421060092
21	0.04173866765
22	0.04137668106
23	0.04101889319
24	0.0406670048
25	0.04031932702
26	0.03997400512
27	0.03963393095
28	0.03930197502
29	0.03897179411
30	0.03864816773
31	0.03832948196
32	0.03801198508
33	0.03769934367
34	0.03739174009
35	0.03709306126
36	0.03679429626
37	0.03649975755
38	0.03621223675
39	0.03592395018
40	0.03563830592
41	0.03536110833
42	0.0350857404
43	0.03481501751
44	0.03454912104
45	0.03428554139
46	0.03402754556
47	0.03377320408
48	0.03352200202
49	0.03327429249
50	0.03302785555
51	0.03278666591
52	0.03254977426
53	0.03231555222
54	0.03208247507
55	0.0318548991
56	0.03163016082
57	0.03140972585
58	0.03119377904
59	0.03097946164
60	0.03076918965
61	0.03056190905
62	0.03035817901
63	0.03015528279
64	0.02995667729
65	0.02976169751
66	0.02956865025
67	0.02937928686
68	0.02919194958
69	0.02900996057
70	0.02882948779
71	0.02865066994
72	0.02847369699
73	0.02830022872
74	0.0281291238
75	0.02796154265
76	0.027798766
77	0.02763717323
78	0.02747782511
79	0.02732086942
80	0.02716702857
81	0.02701446636
82	0.02686505097
83	0.02671713888
84	0.02657367011
85	0.02643151043
86	0.02629278891
87	0.02615532156
88	0.02601870493
89	0.02588649533
90	0.02575602199
91	0.02562698016
92	0.02550258332
93	0.02537810131
94	0.02525714881
95	0.02513660759
96	0.02501999949
97	0.02490437083
98	0.0247927119
99	0.02468025935
100	0.02456859195
101	0.0244592898
102	0.02435445961
103	0.02424990621
104	0.0241489901
105	0.02404937867
106	0.02395000164
107	0.02385405636
108	0.02375818814
109	0.02366366943
110	0.02357085201
111	0.02347963137
112	0.02339017237
113	0.02330220513
114	0.02321599695
115	0.02313054405
116	0.02304696589
117	0.02296631735
118	0.0228853656
119	0.0228062075
120	0.02272915072
121	0.02265233554
122	0.02257734214
123	0.02250396584
124	0.02243285885
125	0.02236265474
126	0.0222939917
127	0.02222583131
128	0.02215933542
129	0.0220942796
130	0.02203009535
131	0.02196680677
132	0.02190474975
133	0.02184381339
134	0.02178370071
135	0.02172555319
136	0.02166914892
137	0.02161286954
138	0.02155863097
139	0.02150317861
140	0.02145059121
141	0.0213978307
142	0.02134658697
143	0.0212969461
144	0.0212472519
145	0.02119845558
146	0.02115093025
147	0.02110365681
148	0.02105750325
149	0.0210128279
150	0.02096825428
151	0.02092577802
152	0.02088382804
153	0.02084232476
154	0.0208023159
155	0.02076309437
156	0.02072378986
157	0.02068495165
158	0.02064678911
159	0.02060962469
160	0.02057304393
161	0.02053736573
162	0.020502022
163	0.02046795722
164	0.02043514995
165	0.02040226762
166	0.02037013061
167	0.02033760344
168	0.02030673325
169	0.02027621824
170	0.0202459832
171	0.02021731565
172	0.02018866171
173	0.02016070029
174	0.02013335447
175	0.02010571982
176	0.02007933223
177	0.02005350244
178	0.02002774332
179	0.02000249878
180	0.01997776567
181	0.01995358229
182	0.01992994715
183	0.019906562
184	0.01988436446
185	0.01986321543
186	0.01984169896
187	0.01982085788
188	0.0198008418
189	0.01978013877
